trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
2,Long,2025-11-28,signal bar close,2025-12-01,165.91000366210938,5.640691569435824,157.44896630795563,1,1,2025-12-16,176.24668706811943,ATR_STOP,12,True,False,0.0623029544804401,pullback,QCOM,skip_bb_width_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,11-15
1,Long,2023-09-08,signal bar close,2023-09-11,28.547000885009766,1.8925535380060365,25.70817057800071,1,1,2023-09-13,26.70199966430664,TREND_EXIT,3,True,False,-0.06463029962884637,pullback,SMCI,skip_bb_width_5,IN-SAMPLE,2023,1-3
2,Long,2023-09-13,signal bar close,2023-09-14,27.177000045776367,1.7655930200798082,24.528610515656656,1,1,2023-09-15,25.080102300701654,ATR_STOP,2,True,False,-0.07715707184541132,pullback,SMCI,skip_bb_width_5,IN-SAMPLE,2023,1-3
1,Long,2023-03-01,signal bar close,2023-03-02,87.63999938964844,2.8212755356334527,83.40808608619825,1,1,2023-03-10,87.44988590431286,ATR_STOP,7,True,False,-0.0021692547542170315,pullback,TSM,skip_bb_width_5,IN-SAMPLE,2023,6-10
2,Long,2024-04-25,signal bar close,2024-04-26,136.80999755859375,5.066921155611329,129.20961582517677,1,1,2024-05-29,154.80732237393525,ATR_STOP,23,True,False,0.1315497780608723,pullback,TSM,skip_bb_width_5,IN-SAMPLE,2024,16+
3,Long,2024-09-11,signal bar close,2024-09-12,170.60000610351562,6.646058209672404,160.630918789007,1,1,2024-09-27,180.79519457278164,ATR_STOP,12,True,False,0.059760774352375146,pullback,TSM,skip_bb_width_5,IN-SAMPLE,2024,11-15
4,Long,2024-11-14,signal bar close,2024-11-15,188.17999267578125,6.467176018980602,178.47922864731035,1,1,2024-11-18,184.35000610351562,TREND_EXIT,2,True,False,-0.020352783087117965,pullback,TSM,skip_bb_width_5,IN-SAMPLE,2024,1-3
5,Long,2025-11-24,signal bar close,2025-11-25,282.7300109863281,9.88131587214346,267.9080371781129,1,1,2025-12-11,300.67949755154206,ATR_STOP,12,True,False,0.06348631509826497,pullback,TSM,skip_bb_width_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,11-15
6,Long,2026-03-17,signal bar close,2026-03-18,345.7799987792969,12.519058127178749,327.00141158852875,1,1,2026-03-19,329.2200012207031,TREND_AND_STOP_AT_OPEN,2,True,False,-0.04789171616940058,pullback,TSM,skip_bb_width_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
7,Long,2026-03-24,signal bar close,2026-03-25,346.0,12.450614259434847,327.3240786108477,1,1,2026-03-26,332.33665532349363,ATR_STOP,2,True,False,-0.03948943548123229,pullback,TSM,skip_bb_width_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
