trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2024-03-14,signal bar close,2024-03-15,17.81999969482422,0.8323053190237585,15.739236397264822,2,1,2024-03-19,17.719999313354492,ATR_STOP,3,True,False,-0.005611693781272686,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
2,Long,2024-05-21,signal bar close,2024-05-22,20.899999618530273,1.1741389829141733,17.96465216124484,2,1,2024-05-31,20.899999618530273,ATR_STOP,7,True,False,0.0,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,6-10
3,Long,2024-06-06,signal bar close,2024-06-07,22.520000457763672,1.2744429254081258,19.33389314424336,2,1,2024-06-10,22.100000381469727,ATR_STOP,2,True,False,-0.01865009181867716,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
4,Long,2024-07-15,signal bar close,2024-07-16,24.059999465942383,1.0454468458564377,21.44638235130129,2,1,2024-07-17,24.059999465942383,ATR_STOP,2,True,False,0.0,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
5,Long,2024-10-28,signal bar close,2024-10-29,28.25,0.99071085789872,25.7732228552532,2,1,2024-10-31,26.020000457763672,ATR_STOP,3,True,False,-0.07893803689332135,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
6,Long,2024-11-08,signal bar close,2024-11-11,32.939998626708984,1.4840869019922645,29.229781371728322,2,1,2024-11-12,31.739999771118164,ATR_STOP,2,True,False,-0.03642983927199728,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
7,Long,2024-12-04,signal bar close,2024-12-05,42.709999084472656,2.0234526046104957,37.65136757294642,2,1,2024-12-10,37.65136757294642,ATR_STOP,4,True,False,-0.11844138655964798,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,4-5
8,Long,2024-12-16,signal bar close,2024-12-17,42.310001373291016,2.4321107156044897,36.22972458427979,2,1,2024-12-19,36.22972458427979,ATR_STOP,3,True,False,-0.1437077899233894,breakout,HOOD,breakeven_3,IN-SAMPLE,2024,1-3
9,Long,2025-01-21,signal bar close,2025-01-22,50.209999084472656,2.5627771372969206,43.80305624123035,2,1,2025-01-27,48.33000183105469,ATR_STOP,4,True,False,-0.0374426864707782,breakout,HOOD,breakeven_3,IN-SAMPLE,2025,4-5
10,Long,2025-02-07,signal bar close,2025-02-10,57.18000030517578,2.575500107009111,50.741250037653,2,1,2025-02-19,58.774241475406725,ATR_STOP,7,True,False,0.027881097616689443,breakout,HOOD,breakeven_3,IN-SAMPLE,2025,6-10
11,Long,2025-05-13,signal bar close,2025-05-14,62.375,3.759783950432508,52.975540123918734,2,1,2025-06-09,68.98307013904537,ATR_STOP,18,True,False,0.1059410042331923,breakout,HOOD,breakeven_3,IN-SAMPLE,2025,16+
12,Long,2025-06-24,signal bar close,2025-06-25,84.94000244140625,3.909901265993822,75.16524927642169,2,1,2025-07-22,100.87886117480262,ATR_STOP,19,True,False,0.18764843742960102,breakout,HOOD,breakeven_3,IN-SAMPLE,2025,16+
13,Long,2025-09-08,signal bar close,2025-09-09,116.52999877929688,6.392713611358661,100.54821475090023,2,1,2025-09-12,116.52999877929688,ATR_STOP,4,True,False,0.0,breakout,HOOD,breakeven_3,IN-SAMPLE,2025,4-5
14,Long,2025-09-30,signal bar close,2025-10-01,141.25999450683594,6.196942632413271,125.76763792580276,2,1,2025-10-07,141.25999450683594,ATR_STOP,5,True,False,0.0,breakout,HOOD,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
15,Long,2026-07-02,signal bar close,2026-07-06,111.41000366210938,6.845165125125015,94.29709084929684,2,1,2026-07-08,110.86499786376953,ATR_STOP,3,True,False,-0.0048918928321084465,breakout,HOOD,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
16,Long,2026-09-03,signal bar close,2026-09-04,120.4749984741211,6.7256419693225356,103.66089355081476,2,1,2026-09-08,120.4749984741211,ATR_STOP,2,True,False,0.0,breakout,HOOD,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
