trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-12-27,signal bar close,2021-12-28,4.48799991607666,0.1392756897041098,4.139810691816385,2,1,2021-12-31,4.456999778747559,ATR_STOP,4,True,False,-0.00690733910623631,breakout,SMCI,breakeven_3,IN-SAMPLE,2021,4-5
2,Long,2022-01-04,signal bar close,2022-01-05,4.73799991607666,0.1451151747012455,4.375211979323547,2,1,2022-01-07,4.4192106989785955,ATR_STOP,3,True,False,-0.06728349994612082,breakout,SMCI,breakeven_3,IN-SAMPLE,2022,1-3
3,Long,2022-06-02,signal bar close,2022-06-03,5.47599983215332,0.2557982469321824,4.836504214822864,2,1,2022-06-06,5.47599983215332,ATR_STOP,2,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2022,1-3
4,Long,2022-08-10,signal bar close,2022-08-11,6.453000068664551,0.3103536417334532,5.677115964330918,2,1,2022-08-12,6.335000038146973,ATR_STOP,2,True,False,-0.01828607302990437,breakout,SMCI,breakeven_3,IN-SAMPLE,2022,1-3
5,Long,2022-08-18,signal bar close,2022-08-19,7.109000205993652,0.3263900278570496,6.293025136351028,2,1,2022-08-26,7.109000205993652,ATR_STOP,6,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2022,6-10
6,Long,2022-11-15,signal bar close,2022-11-16,8.696000099182129,0.4513652056907703,7.567587084955203,2,1,2022-11-30,8.696000099182129,ATR_STOP,10,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2022,6-10
7,Long,2023-02-24,signal bar close,2023-02-27,9.88599967956543,0.5159167851738883,8.596207716630708,2,1,2023-02-28,9.88599967956543,ATR_STOP,2,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2023,1-3
8,Long,2023-03-21,signal bar close,2023-03-22,10.885000228881836,0.5514990336535983,9.50625264474784,2,1,2023-03-24,10.885000228881836,ATR_STOP,3,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2023,1-3
9,Long,2023-05-16,signal bar close,2023-05-17,14.699999809265137,0.7132137377238136,12.916965464955602,2,1,2023-06-13,23.317782576419372,ATR_STOP,19,True,False,0.5862437332633574,breakout,SMCI,breakeven_3,IN-SAMPLE,2023,16+
10,Long,2023-08-07,signal bar close,2023-08-08,34.47999954223633,1.8393465142406078,29.881633256634807,2,1,2023-08-09,29.714000701904297,ATR_STOP,2,True,False,-0.13822502620668287,breakout,SMCI,breakeven_3,IN-SAMPLE,2023,1-3
11,Long,2024-01-08,signal bar close,2024-01-09,31.83300018310547,1.5479648934149421,27.963087949568113,2,1,2024-01-17,31.83300018310547,ATR_STOP,6,True,False,0.0,breakout,SMCI,breakeven_3,IN-SAMPLE,2024,6-10
12,Long,2025-07-15,signal bar close,2025-07-16,53.04999923706055,2.4807642203132003,46.84808868627755,2,1,2025-08-01,55.325484460219144,ATR_STOP,13,True,False,0.04289321877254526,breakout,SMCI,breakeven_3,IN-SAMPLE,2025,11-15
13,Long,2025-10-02,signal bar close,2025-10-03,52.7400016784668,2.2068332364167915,47.222918587424815,2,1,2025-10-10,52.7400016784668,ATR_STOP,6,True,False,0.0,breakout,SMCI,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,6-10
