module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,baseline,AAPL,15,0,7,8,0,0.4666666666666667,0.045370647553076626,0.054741857815220785,-0.027277583907321643,-0.027730051307263304,0.0066249241075308826,-0.006339545916740352,0.0066249241075308826,1.4553824394354171,16.533333333333335,12.0,-0.04905424288826532,-0.04372573387112605,-0.04905424288826532,0.9813616084982679
breakout,baseline,ABNB,4,0,4,0,0,1.0,0.03033273339796333,0.02185648147603858,,,0.03033273339796333,0.02185648147603858,0.03033273339796333,inf,20.5,18.0,0.005558507452552153,0.006335438496474133,0.005558507452552153,1.0
breakout,baseline,AMD,9,0,5,4,0,0.5555555555555556,0.07560464772359624,0.07552313752265172,-0.057866634305423825,-0.06627863195507921,0.01628407793292065,0.03815778881963072,0.01628407793292065,1.633165826712636,11.666666666666666,12.0,-0.09035692227349579,-0.0818709601910064,-0.09035692227349579,1.0
breakout,baseline,AMZN,13,0,3,10,0,0.23076923076923078,0.026789034592958078,0.010767675545931832,-0.03658658060067895,-0.0336652767069458,-0.02196143863291656,-0.028546666764945328,-0.02196143863291656,0.21966279017991322,11.076923076923077,10.0,-0.06645868509048936,-0.05637575875096263,-0.06645868509048936,1.0
breakout,baseline,ARM,6,0,2,4,0,0.3333333333333333,0.18748029751686868,0.18748029751686868,-0.08893285250869393,-0.09400355364888502,0.0032048641664936075,-0.0680880872130264,0.0032048641664936075,1.0540553475361703,7.666666666666667,7.5,-0.12303899231988369,-0.11640830506212257,-0.12303899231988369,1.0
breakout,baseline,ASML,12,0,3,9,0,0.25,0.07718515596006603,0.021093293585750628,-0.04788030017044445,-0.04789317678345206,-0.016613936137816827,-0.039054479388303864,-0.016613936137816827,0.5373480372602933,11.0,12.0,-0.10093068652950499,-0.07782468913634936,-0.10093068652950499,1.0
breakout,baseline,AVGO,18,0,8,10,0,0.4444444444444444,0.07296387078892094,0.059741900234826395,-0.042140695233239156,-0.049494237931317464,0.009016889665498665,-0.005280180211203522,0.009016889665498665,1.385147926679093,11.444444444444445,10.5,-0.08346583173004374,-0.08146858434348705,-0.08346583173004374,0.876042467194087
breakout,baseline,BAC,8,0,3,5,0,0.375,0.02454925966292798,0.0227877497900133,-0.0231317340586934,-0.013232537858750226,-0.005251361413085381,-0.011293963609848523,-0.005251361413085381,0.6367683356717957,14.375,12.0,-0.05976674293466333,-0.0458733947056559,-0.05976674293466333,1.0
breakout,baseline,CAT,18,0,11,7,0,0.6111111111111112,0.04202394964025494,0.03146084629239465,-0.03606135564570608,-0.03799857974554577,0.011657442029047874,0.014909495055479338,0.011657442029047874,1.8312576986227447,11.722222222222221,11.0,-0.07592847390996615,-0.05376248757557983,-0.07592847390996615,0.7393834059678552
breakout,baseline,COIN,6,0,3,3,0,0.5,0.08676861958486166,0.10113662670702195,-0.0697199538112873,-0.050450658882640886,0.008524332886787186,-0.019630790838552292,0.008524332886787186,1.2445306521533335,8.0,6.0,-0.10933888191320018,-0.09461682615556036,-0.10933888191320018,1.0
