trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-07-17,signal bar close,2023-07-18,17.8799991607666,0.8702900635255628,15.704274001952694,2,1,2023-07-19,17.9424991607666,ATR_STOP,2,True,False,0.0034955258911388842,breakout,PLTR,lock25_1,IN-SAMPLE,2023,1-3
2,Long,2023-11-03,signal bar close,2023-11-06,18.989999771118164,1.021408593378892,16.436478287670933,2,1,2023-11-16,19.335000038146973,ATR_STOP,9,True,False,0.018167470836598865,breakout,PLTR,lock25_1,IN-SAMPLE,2023,6-10
3,Long,2024-03-06,signal bar close,2024-03-07,27.010000228881836,1.3064837651198957,23.743790816082097,2,1,2024-03-08,27.132500171661377,ATR_STOP,2,True,False,0.004535355118159279,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
4,Long,2024-06-17,signal bar close,2024-06-18,25.149999618530273,0.9086063583588111,22.878483722633245,2,1,2024-06-20,25.368749618530273,ATR_STOP,2,True,False,0.00869781325319896,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
5,Long,2024-07-05,signal bar close,2024-07-08,27.93000030517578,0.9765340400174833,25.488665205132072,2,1,2024-07-10,27.5,ATR_STOP,3,True,False,-0.01539564269521676,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
6,Long,2024-07-15,signal bar close,2024-07-16,28.18000030517578,1.0669599093540334,25.512600531790696,2,1,2024-07-17,28.0,ATR_STOP,2,True,False,-0.0063875196318831096,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
7,Long,2024-08-08,signal bar close,2024-08-09,29.280000686645508,1.7578502157010583,24.885375147392864,2,1,2024-08-12,29.55000066757202,ATR_STOP,2,True,False,0.009221310607743893,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
8,Long,2024-09-16,signal bar close,2024-09-17,37.0,1.4198527855975782,33.450368036006054,2,1,2024-09-24,37.297499656677246,ATR_STOP,6,True,False,0.008040531261547246,breakout,PLTR,lock25_1,IN-SAMPLE,2024,6-10
9,Long,2024-10-25,signal bar close,2024-10-28,45.04999923706055,1.4534566321817033,41.41635765660629,2,1,2024-10-31,41.753370577515916,ATR_STOP,4,True,False,-0.07317710799943022,breakout,PLTR,lock25_1,IN-SAMPLE,2024,4-5
10,Long,2024-11-08,signal bar close,2024-11-11,60.132999420166016,2.320452200941027,54.33186891781345,2,1,2024-11-12,59.0099983215332,ATR_STOP,2,True,False,-0.018675288268694024,breakout,PLTR,lock25_1,IN-SAMPLE,2024,1-3
11,Long,2024-11-15,signal bar close,2024-11-18,64.91999816894531,2.7736841357316018,57.98578782961631,2,1,2024-11-26,64.56999969482422,ATR_STOP,7,True,False,-0.005391227418249045,breakout,PLTR,lock25_1,IN-SAMPLE,2024,6-10
12,Long,2024-12-03,signal bar close,2024-12-04,71.12999725341797,3.0567355015221636,63.48815849961256,2,1,2024-12-09,72.55249786376955,ATR_STOP,4,True,False,0.019998603476442778,breakout,PLTR,lock25_1,IN-SAMPLE,2024,4-5
13,Long,2025-05-13,signal bar close,2025-05-14,129.00999450683594,7.612175679534747,109.97955530799908,2,1,2025-05-15,128.3699951171875,ATR_STOP,2,True,False,-0.004960851227805652,breakout,PLTR,lock25_1,IN-SAMPLE,2025,1-3
14,Long,2025-08-05,signal bar close,2025-08-06,171.1750030517578,6.2541251128862365,155.53969026954223,2,1,2025-08-15,175.88125228881836,ATR_STOP,8,True,False,0.027493787954760762,breakout,PLTR,lock25_1,IN-SAMPLE,2025,6-10
15,Long,2026-03-02,signal bar close,2026-03-03,142.10000610351562,7.4450389633179395,123.48740869522078,2,1,2026-03-04,148.42999267578125,TREND_EXIT,2,True,False,0.04454599789147373,breakout,PLTR,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
