module,scenario,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,loser_to_win,loser_to_nonloss,winner_destroyed
breakout,breakeven_1,647,1,137,266,244,0.2117465224111283,0.06636465362519826,0.03481326162221077,-0.03349157327260054,-0.024356081695127707,0.0002831515550856555,0.0,0.0002831515550856555,1.0205639266498845,6.508500772797527,4.0,-0.21953813037602288,-0.06756488942758254,-0.09518769041723417,0.19284824462976582,0,140,100
breakout,breakeven_2,598,1,176,266,156,0.29431438127090304,0.06831964092031916,0.034879376872433476,-0.04097070740971167,-0.037785216764347096,0.0018830244665432585,0.0,0.0018830244665432585,1.1033241991092622,8.934782608695652,6.0,-0.21953813037602288,-0.07784880894822206,-0.10738913552652268,0.15560466234868778,0,100,58
breakout,breakeven_3,579,1,191,280,108,0.3298791018998273,0.06790281195488615,0.034945492122656185,-0.04340281960766071,-0.04012459533558277,0.001410444893330321,0.0,0.001410444893330321,1.0671983657661885,10.08635578583765,7.0,-0.21953813037602288,-0.08176048843404352,-0.10992168178782645,0.14426458200430473,0,69,39
breakout,breakeven_4,570,1,199,293,78,0.34912280701754383,0.06801380921002075,0.03592261275129083,-0.04401608955647684,-0.04023518231209178,0.0011193575311340544,-0.0030481052063079384,0.0011193575311340544,1.0494725850996331,10.735087719298246,8.0,-0.21953813037602288,-0.08239712658674593,-0.11021736220064227,0.14001294669543865,0,48,28
breakout,early_3,561,2,215,346,0,0.38324420677361853,0.07186756823932704,0.04001896200604449,-0.040737389368150696,-0.035759066922837424,0.002417808288904053,-0.014149434086518031,0.002417808288904053,1.096231095652853,11.336898395721924,9.0,-0.21953813037602288,-0.08251588658587938,-0.10869927596949515,0.1427840377058635,0,0,10
breakout,lock25_1,685,1,430,254,1,0.6277372262773723,0.02108333269821481,0.007087101235845994,-0.034823219942181294,-0.02870099932550768,0.00032224116046469646,0.0034924400570615077,0.00032224116046469646,1.0249556532080815,5.202919708029197,3.0,-0.21953813037602288,-0.06638014425224104,-0.09342202911241806,0.19109879528889234,157,158,32
breakout,lock25_2,628,0,379,249,0,0.6035031847133758,0.032243505136187255,0.012119391274176827,-0.044533288070339065,-0.04132865266419927,0.0018017511418798465,0.006022824865052456,0.0018017511418798465,1.1020399743110707,7.509554140127388,5.0,-0.21953813037602288,-0.07663864290044693,-0.10535601303648859,0.1531085315898326,123,123,12
breakout,lock25_3,603,0,338,265,0,0.560530679933665,0.04003622120432628,0.016858797137736747,-0.045965721711339474,-0.04144208714949493,0.0022410058267948968,0.007946037340617274,0.0022410058267948968,1.110938002153039,8.882255389718077,6.0,-0.21953813037602288,-0.0789342851981756,-0.10792197738523142,0.13826462116239407,88,88,6
breakout,lock25_4,589,0,304,285,0,0.5161290322580645,0.04704450670097994,0.019921625313400693,-0.045254992237953595,-0.04054486304388594,0.0023834588273024216,0.0062221950954861605,0.0023834588273024216,1.1088457795740654,9.774193548387096,7.0,-0.21953813037602288,-0.08146997882651474,-0.10921179468582914,0.13250609899333143,60,60,5
breakout,time_10,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,0,0,0
