trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-02,signal bar close,2021-11-03,423.1199951171875,8.62977630360983,401.5455543581629,2,1,2021-11-09,401.92373314494034,ATR_STOP,5,True,False,-0.050095155551267756,breakout,GS,lock25_2,IN-SAMPLE,2021,4-5
2,Long,2023-12-13,signal bar close,2023-12-14,366.5,6.107688459090646,351.2307788522734,2,1,2024-01-19,373.55541792370184,ATR_STOP,24,True,False,0.019250799246116834,breakout,GS,lock25_2,IN-SAMPLE,2023,16+
3,Long,2024-04-22,signal bar close,2024-04-23,417.7099914550781,9.12712012475268,394.89219114319644,2,1,2024-05-29,453.18958709086394,ATR_STOP,26,True,False,0.08493834565027725,breakout,GS,lock25_2,IN-SAMPLE,2024,16+
4,Long,2024-11-11,signal bar close,2024-11-12,598.0499877929688,14.931157816125905,560.722093252654,2,1,2024-11-26,600.1300048828125,ATR_STOP,11,True,False,0.0034779987163278125,breakout,GS,lock25_2,IN-SAMPLE,2024,11-15
5,Long,2025-01-15,signal bar close,2025-01-16,609.989990234375,14.46344867994265,573.8313685345183,2,1,2025-01-21,614.2424926757812,ATR_STOP,3,True,False,0.006971429875058055,breakout,GS,lock25_2,IN-SAMPLE,2025,1-3
6,Long,2025-01-23,signal bar close,2025-01-24,630.0,14.299597777547291,594.2510055561318,2,1,2025-02-03,626.0,ATR_STOP,7,True,False,-0.006349206349206327,breakout,GS,lock25_2,IN-SAMPLE,2025,6-10
7,Long,2025-05-13,signal bar close,2025-05-14,603.7999877929688,19.13509242134404,555.9622567396086,2,1,2025-05-19,608.0474853515625,ATR_STOP,4,True,False,0.007034610209449177,breakout,GS,lock25_2,IN-SAMPLE,2025,4-5
8,Long,2025-06-18,signal bar close,2025-06-20,638.8300170898438,13.886501744237568,604.1137627292499,2,1,2025-07-16,691.9637920680674,ATR_STOP,18,True,False,0.08317357287040417,breakout,GS,lock25_2,IN-SAMPLE,2025,16+
9,Long,2025-08-12,signal bar close,2025-08-13,745.780029296875,14.583467835900851,709.3213597071228,2,1,2025-08-20,713.4166952849642,ATR_STOP,6,True,False,-0.04339528110242241,breakout,GS,lock25_2,IN-SAMPLE,2025,6-10
10,Long,2025-09-10,signal bar close,2025-09-11,772.0,15.627633938163637,732.9309151545909,2,1,2025-09-12,777.2924957275391,ATR_STOP,2,True,False,0.006855564413910775,breakout,GS,lock25_2,IN-SAMPLE,2025,1-3
11,Long,2025-11-12,signal bar close,2025-11-13,833.0599975585938,20.440841047634347,781.9578949395079,2,1,2025-11-14,787.3530751210051,ATR_STOP,2,True,False,-0.0548663032333081,breakout,GS,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
12,Long,2026-01-02,signal bar close,2026-01-05,914.4000244140625,19.18311566148478,866.4422352603506,2,1,2026-01-14,926.2225189208984,ATR_STOP,8,True,False,0.012929236866995542,breakout,GS,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
13,Long,2026-04-08,signal bar close,2026-04-09,902.0,28.919156902117017,829.7021077447075,2,1,2026-04-16,897.989990234375,ATR_STOP,6,True,False,-0.004445687101579776,breakout,GS,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
14,Long,2026-06-04,signal bar close,2026-06-05,1092.8199462890625,29.25962969066235,1019.6708720624066,2,1,2026-06-09,1020.5059350368296,ATR_STOP,3,True,False,-0.06617193573176705,breakout,GS,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
15,Long,2026-07-14,signal bar close,2026-07-15,1148.4200439453125,34.706963759460756,1061.6526345466607,2,1,2026-07-17,1066.8863304677138,ATR_STOP,3,True,False,-0.0709964214813733,breakout,GS,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
