signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-03-02,Long,2,1,FLAT,,FILLED,1,2023-03-03,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2023-03-03,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2023-03-06,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2023-04-18,Long,2,1,FLAT,,FILLED,2,2023-04-19,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2023-04-20,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2023-11-30,Long,2,1,FLAT,,FILLED,3,2023-12-01,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2023-12-01,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2024-01-22,Long,2,1,FLAT,,FILLED,4,2024-01-23,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2024-01-30,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2024-02-28,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2024-03-01,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2024-03-04,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2024-03-27,Long,2,1,FLAT,,FILLED,5,2024-03-28,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2024-04-23,Long,2,1,FLAT,,FILLED,6,2024-04-24,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2024-09-18,Long,2,1,FLAT,,FILLED,7,2024-09-19,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2024-09-19,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2025-04-22,Long,2,1,FLAT,,FILLED,8,2025-04-23,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2025-05-27,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2025-05-28,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2025-06-03,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2025-06-26,Long,2,1,FLAT,,FILLED,9,2025-06-27,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2025-07-16,Long,2,1,FLAT,,FILLED,10,2025-07-17,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2025-10-21,Long,2,1,FLAT,,FILLED,11,2025-10-22,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2026-01-05,Long,2,1,FLAT,,FILLED,12,2026-01-06,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2026-06-15,Long,2,1,FLAT,,FILLED,13,2026-06-16,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
2026-06-16,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2026-06-17,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,GE,skip_distance_to_upper_band_atr_1
2026-08-04,Long,2,1,FLAT,,FILLED,14,2026-08-05,True,False,breakout,GE,skip_distance_to_upper_band_atr_1
