trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-03-01,signal bar close,2023-03-02,87.63999938964844,2.8212755356334527,83.40808608619825,1,1,2023-03-07,88.5625,ATR_STOP,4,True,False,0.010526022555638281,pullback,TSM,lock25_2,IN-SAMPLE,2023,4-5
2,Long,2024-04-25,signal bar close,2024-04-26,136.80999755859375,5.066921155611329,129.20961582517677,1,1,2024-05-01,137.4199981689453,ATR_STOP,4,True,False,0.004458742937191396,pullback,TSM,lock25_2,IN-SAMPLE,2024,4-5
3,Long,2024-08-08,signal bar close,2024-08-09,166.32000732421875,8.708939931713656,153.25659742664826,1,1,2024-08-14,167.8525047302246,ATR_STOP,4,True,False,0.0092141494619975,pullback,TSM,lock25_2,IN-SAMPLE,2024,4-5
4,Long,2024-09-11,signal bar close,2024-09-12,170.60000610351562,6.646058209672404,160.630918789007,1,1,2024-09-16,169.91000366210938,ATR_STOP,3,True,False,-0.004044562817820618,pullback,TSM,lock25_2,IN-SAMPLE,2024,1-3
5,Long,2024-11-14,signal bar close,2024-11-15,188.17999267578125,6.467176018980602,178.47922864731035,1,1,2024-11-18,184.35000610351562,TREND_EXIT,2,True,False,-0.020352783087117965,pullback,TSM,lock25_2,IN-SAMPLE,2024,1-3
6,Long,2025-11-24,signal bar close,2025-11-25,282.7300109863281,9.88131587214346,267.9080371781129,1,1,2025-12-01,285.2500076293945,ATR_STOP,4,True,False,0.008913085081683203,pullback,TSM,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
7,Long,2026-03-17,signal bar close,2026-03-18,345.7799987792969,12.519058127178749,327.00141158852875,1,1,2026-03-19,329.2200012207031,TREND_AND_STOP_AT_OPEN,2,True,False,-0.04789171616940058,pullback,TSM,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
8,Long,2026-03-24,signal bar close,2026-03-25,346.0,12.450614259434847,327.3240786108477,1,1,2026-03-26,332.33665532349363,ATR_STOP,2,True,False,-0.03948943548123229,pullback,TSM,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
9,Long,2026-04-01,signal bar close,2026-04-02,326.8399963378906,13.132367251253903,307.14144546100977,1,1,2026-04-06,339.75,TREND_EXIT,2,True,False,0.03949946091898404,pullback,TSM,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
10,Long,2026-04-06,signal bar close,2026-04-07,339.44000244140625,12.734696727683533,320.337957349881,1,1,2026-04-16,363.50136756189886,ATR_STOP,8,True,False,0.07088547297735204,pullback,TSM,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
